longitude,latitude,livingArea,years_since_built,GasStation_Count,GolfCourse_Count,average_bar_rating,household_income,TraderJoes_distance,best_school_rating,coast_distance,price
-122.33256,37.529865,1710.0,50.0,7.0,1.0,-1.0,184453.0,1.9110866,5.0,3.44748124,1484000
-122.19469,37.884003,2173.0,66.0,4.0,1.0,4.5,250001.0,3.72001997,5.0,6.28511152,1650000
-117.275055,32.82782,982.0,84.0,5.0,2.0,4.540000000000001,136601.0,2.73656062,5.0,0.28864215,1850000
-117.27154,33.10745,2409.0,23.0,4.0,3.0,4.399999999999999,141739.0,1.64299541,5.0,2.77476578,1500000
-117.2477,32.81833,2063.0,46.0,12.0,2.0,4.533333333333332,136601.0,1.28284689,5.0,1.21741903,2317000
-117.25534,33.100895,3424.0,17.0,3.0,3.0,-1.0,163402.0,1.77209681,5.0,3.526539,1950000
-117.102585,32.93222,3035.0,21.0,11.0,0.0,-1.0,169448.0,1.43215408,4.1,8.85263004,2100000
-117.04703,33.011547,3260.0,47.0,4.0,6.0,-1.0,135943.0,2.59359386,5.0,12.18666082,2000000
-121.90294,36.592377,5200.0,81.0,10.0,3.0,4.016666666666667,103946.0,0.54853575,5.0,1.20889021,1975000
-117.29589,33.07416,1600.0,49.0,11.0,2.0,4.053846153846154,141329.0,2.74948934,5.0,0.72518885,1230000
-122.4755,37.760452,1553.0,99.0,29.0,3.0,4.316666666666666,141760.0,2.18470205,5.0,1.92036549,1382000
-122.39822,37.763145,2500.0,60.0,28.0,0.0,4.225000000000001,176788.0,0.73515537,5.0,0.48626691,1905000
-122.437294,37.770733,1668.0,124.0,33.0,2.0,2.2,190444.0,1.04413206,5.0,2.12074451,1450000
-117.093506,33.000107,1810.0,35.0,11.0,2.0,-1.0,166804.0,1.64844695,4.1,9.38319137,1375000
-122.4233,37.733124,2234.0,98.0,27.0,2.0,4.466666666666667,120731.0,2.74940477,5.0,1.94846987,1975000
-117.097626,32.931824,1674.0,29.0,12.0,0.0,-1.0,169448.0,1.57720907,5.0,9.13760566,1194000
-117.250854,33.118576,2607.0,18.0,5.0,3.0,3.828571428571428,163402.0,0.59779873,5.0,4.14991597,1825000
-117.07532,32.99559,2665.0,36.0,11.0,3.0,4.45,125609.0,0.93463516,5.0,10.34374996,1700000
-118.65689,34.207184,3085.0,29.0,3.0,0.0,3.912500000000001,79673.0,2.02735615,5.0,11.85610081,1611500
-122.17593,37.877647,3650.0,42.0,4.0,1.0,4.5,250001.0,2.80893893,5.0,7.20909591,1600000
-117.80378,33.889496,4276.0,41.0,6.0,2.0,4.35,142900.0,0.65957233,5.0,19.44685173,2200000
-117.27957,32.83675,945.0,73.0,3.0,2.0,3.98125,136601.0,3.3579747,5.0,0.13004927,1950000
-122.02679,36.998367,2570.0,52.0,10.0,2.0,4.061111111111111,101962.0,1.64407562,5.0,0.60414928,1800000
-121.618965,37.006683,2579.0,12.0,2.0,2.0,3.8,128977.0,8.63173653,5.0,12.76801598,1350000
-122.03609,37.646965,2132.0,45.0,6.0,3.0,3.58,132747.0,3.32687066,5.0,6.4166479,1400000
-122.03697,37.65237,2724.0,55.0,5.0,3.0,4.029411764705882,132747.0,3.00787873,5.0,6.4045751,1750000
-118.13002,33.79232,1794.0,77.0,22.0,6.0,4.0,110565.0,0.51807377,5.0,1.67391187,1225000
-121.915474,37.800213,1598.0,29.0,4.0,3.0,4.6,246132.0,3.14769881,5.0,15.94736216,1160000
-117.27959,33.10043,1728.0,28.0,4.0,4.0,2.25,141739.0,2.30977237,5.0,2.18222783,1270000
-117.84017,33.965508,2037.0,46.0,3.0,1.0,2.25,105712.0,4.15985076,5.0,20.76043469,1328000
-117.954605,33.791805,1596.0,71.0,18.0,0.0,4.6,90983.0,5.01632762,5.0,8.55905383,1210000
-118.60978,34.22943,2575.0,62.0,12.0,0.0,2.25,79673.0,2.66918411,5.0,13.25299846,1105000
-117.067894,32.929146,1850.0,26.0,9.0,0.0,-1.0,169448.0,2.92604279,5.0,10.8552488,1390000
-121.91662,36.97471,836.0,76.0,6.0,1.0,-1.0,136506.0,2.92446629,5.0,0.16734527,1290000
-122.45142,37.65355,1610.0,68.0,20.0,1.0,4.4,126916.0,0.83449015,5.0,2.29036828,1710000
-122.43935,37.772038,4254.0,120.0,31.0,2.0,-1.0,190444.0,0.9083344,5.0,29.82207503,1300000
-117.53129,33.92763,3569.0,20.0,5.0,1.0,-1.0,121031.0,8.04958654,5.0,55.0776258,1330000
-121.148994,38.78122,7671.0,34.0,0.0,0.0,-1.0,173034.0,3.56695848,5.0,0.69233157,2300000
-117.226135,33.10792,2196.0,24.0,4.0,3.0,-1.0,163402.0,2.09378612,5.0,0.42332542,1400000
-118.39686,33.8635,2168.0,24.0,11.0,0.0,4.3,149500.0,0.28556811,5.0,0.42332542,2400000
-117.13636,32.961346,1749.0,39.0,7.0,1.0,4.5,146754.0,3.18727981,5.0,1.17381699,1416000
-122.4218,37.75822,2926.0,62.0,34.0,0.0,-1.0,152115.0,1.18321549,5.0,2.08014212,1720000
-117.223595,32.92508,1809.0,22.0,4.0,3.0,-1.0,186000.0,3.10555257,5.0,3.1143419,1775000
-121.96962,37.5359,1027.0,70.0,24.0,1.0,-1.0,143146.0,1.04133662,5.0,1.46110377,1320000
-119.8247,34.437565,1224.0,106.0,11.0,3.0,-1.0,79553.0,0.22441623,5.0,3.09423051,1400000
-122.44812,37.73787,1862.0,83.0,26.0,1.0,4.4,200082.0,1.74015808,5.0,0.33146381,1900888
-118.13604,33.75879,970.0,84.0,15.0,3.0,-1.0,107889.0,1.55228271,5.0,1.78690416,1207500
-118.36936,33.86315,1442.0,68.0,25.0,1.0,-1.0,143785.0,1.18895465,5.0,2.01280607,1335182
-121.951775,37.401226,1907.0,19.0,6.0,1.0,-1.0,194316.0,2.96339118,5.0,1.18957752,1760000
-122.27941,37.547245,1270.0,50.0,17.0,1.0,-1.0,182699.0,1.32285458,5.0,3.1328057,1340000
-118.14673,33.842567,3864.0,1.0,20.0,3.0,-1.0,119143.0,2.48014373,5.0,3.59699599,1975000
-117.24416,33.075535,2438.0,22.0,6.0,2.0,4.1,163402.0,2.0663658,5.0,0.35401383,1850000
-117.29794,33.062214,1982.0,40.0,9.0,1.0,4.4,141329.0,2.41684597,5.0,2.50028362,1425000
-122.460526,37.7239,1400.0,122.0,23.0,4.0,4.4,120731.0,0.89947613,5.0,4.34334642,1145000
-122.047295,37.56892,1647.0,35.0,13.0,0.0,-1.0,202832.0,3.78331336,5.0,3.16922,1910000
-117.24215,33.05337,1326.0,39.0,5.0,1.0,4.4,141329.0,1.0634756,5.0,0.14408461,1252250
-121.95586,36.971905,1352.0,47.0,15.0,0.0,-1.0,91771.0,0.87694851,5.0,16.12946834,2400000
-117.91783,33.94689,2353.0,53.0,9.0,1.0,-1.0,114444.0,3.52062414,5.0,0.39528796,1350000
-122.40182,37.665897,2500.0,20.0,17.0,0.0,-1.0,126916.0,2.42550051,5.0,0.51904198,1545000
-121.91254,36.618626,2000.0,114.0,9.0,3.0,-1.0,102553.0,1.0427411,5.0,3.55339695,1431000
